Classifier,Kth-fold,Accuracy,Precision,Recall,F1 Score
Logistic Regression,1,0.95,1.0,0.9230769230769231,0.96
Logistic Regression,2,0.85,0.9230769230769231,0.8571428571428571,0.8888888888888888
Logistic Regression,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Logistic Regression,4,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Logistic Regression,5,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
Logistic Regression,6,0.8947368421052632,1.0,0.8461538461538461,0.9166666666666666
Logistic Regression,7,0.8421052631578947,0.8125,1.0,0.896551724137931
Logistic Regression,8,0.9473684210526315,1.0,0.9230769230769231,0.96
Logistic Regression,9,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
Logistic Regression,10,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88
K-Nearest Neighbors,1,0.95,1.0,0.9230769230769231,0.96
K-Nearest Neighbors,2,0.9,0.9285714285714286,0.9285714285714286,0.9285714285714286
K-Nearest Neighbors,3,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88
K-Nearest Neighbors,4,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
K-Nearest Neighbors,5,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
K-Nearest Neighbors,6,0.9473684210526315,0.9285714285714286,1.0,0.9629629629629629
K-Nearest Neighbors,7,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
K-Nearest Neighbors,8,0.8421052631578947,1.0,0.7692307692307693,0.8695652173913043
K-Nearest Neighbors,9,0.7894736842105263,0.8,0.9230769230769231,0.8571428571428571
K-Nearest Neighbors,10,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
Random Forest,1,0.95,1.0,0.9230769230769231,0.96
Random Forest,2,0.85,0.8666666666666667,0.9285714285714286,0.896551724137931
Random Forest,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Random Forest,4,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
Random Forest,5,0.8421052631578947,0.8125,1.0,0.896551724137931
Random Forest,6,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88
Random Forest,7,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Random Forest,8,1.0,1.0,1.0,1.0
Random Forest,9,0.8421052631578947,0.8125,1.0,0.896551724137931
Random Forest,10,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Gradient Boosting,1,0.95,1.0,0.9230769230769231,0.96
Gradient Boosting,2,0.8,0.8125,0.9285714285714286,0.8666666666666667
Gradient Boosting,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Gradient Boosting,4,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
Gradient Boosting,5,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
Gradient Boosting,6,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88
Gradient Boosting,7,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Gradient Boosting,8,0.8947368421052632,1.0,0.8461538461538461,0.9166666666666666
Gradient Boosting,9,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
Gradient Boosting,10,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
Support Vector Machine,1,0.95,1.0,0.9230769230769231,0.96
Support Vector Machine,2,0.9,0.9285714285714286,0.9285714285714286,0.9285714285714286
Support Vector Machine,3,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
Support Vector Machine,4,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
Support Vector Machine,5,0.8421052631578947,0.8125,1.0,0.896551724137931
Support Vector Machine,6,0.9473684210526315,1.0,0.9230769230769231,0.96
Support Vector Machine,7,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
Support Vector Machine,8,1.0,1.0,1.0,1.0
Support Vector Machine,9,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
Support Vector Machine,10,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
MLP Classifier,1,0.9,1.0,0.8461538461538461,0.9166666666666666
MLP Classifier,2,0.85,0.8666666666666667,0.9285714285714286,0.896551724137931
MLP Classifier,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
MLP Classifier,4,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
MLP Classifier,5,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
MLP Classifier,6,0.8947368421052632,1.0,0.8461538461538461,0.9166666666666666
MLP Classifier,7,0.7894736842105263,0.8461538461538461,0.8461538461538461,0.8461538461538461
MLP Classifier,8,1.0,1.0,1.0,1.0
MLP Classifier,9,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
MLP Classifier,10,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
XGBoost,1,0.95,1.0,0.9230769230769231,0.96
XGBoost,2,0.9,0.9285714285714286,0.9285714285714286,0.9285714285714286
XGBoost,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
XGBoost,4,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
XGBoost,5,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
XGBoost,6,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88
XGBoost,7,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
XGBoost,8,1.0,1.0,1.0,1.0
XGBoost,9,0.7368421052631579,0.75,0.9230769230769231,0.8275862068965517
XGBoost,10,0.7368421052631579,0.7857142857142857,0.8461538461538461,0.8148148148148148
CatBoost,1,0.95,1.0,0.9230769230769231,0.96
CatBoost,2,0.9,1.0,0.8571428571428571,0.9230769230769231
CatBoost,3,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
CatBoost,4,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231
CatBoost,5,0.8421052631578947,0.8125,1.0,0.896551724137931
CatBoost,6,0.9473684210526315,1.0,0.9230769230769231,0.96
CatBoost,7,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8888888888888888
CatBoost,8,1.0,1.0,1.0,1.0
CatBoost,9,0.8421052631578947,0.8125,1.0,0.896551724137931
CatBoost,10,0.8947368421052632,0.8666666666666667,1.0,0.9285714285714286
