id,DBH,class,X,Y
VA001,79,Orientalis,379489.057,5389104.717
VA002,77,Orientalis,379490.864,5389099.98
VA003,78,Orientalis,379490.523,5389100.408
VA004,122,Orientalis,379484.137,5389093.455
VA005,201,Orientalis,379477.963,5389078.252
VA007,207,Sylvatica,379486.769,5389074.761
VA008,74,Orientalis,379485.762,5389070.502
VA009,71,Orientalis,379492.434,5389076.211
VA010,162,Orientalis,379488.47,5389074.155
VA011,209,Orientalis,379486.651,5389060.268
VA012,72,Orientalis,379490.673,5389049.165
VA013,89,Orientalis,379487.651,5389056.836
VA014,101,Orientalis,379487.21,5389047.948
VA015,175,Orientalis,379487.834,5389039.542
VA016,81,Orientalis,379495.54,5389041.289
VA017,128,Orientalis,379487.951,5389029.935
VA018,99,Orientalis,379483.2,5389030.212
VA019,84,Orientalis,379482.98,5389019.629
VA020,224,Orientalis,379490.891,5389028.828
VA021,75,Orientalis,379490.959,5389017.26
VA022,75,Orientalis,379485.359,5389017.011
VA023,92,Orientalis,379492.044,5389031.86
VA024,65,Orientalis,379499.755,5389041.163
VA025,183,Orientalis,379495.596,5389029.827
VA026,107,Orientalis,379512.103,5389026.501
VA027,62,Orientalis,379505.401,5389037.173
VA028,93,Orientalis,379504.66,5389039.76
VA029,60,Orientalis,379501.833,5389043.07
VA030,78,Orientalis,379499.377,5389062.073
VA031,75,Orientalis,379511.906,5389066.347
VA033,90,Orientalis,379497.357,5389096.858
VA034,70,Orientalis,379506.89,5389090.369
VA035,66,Orientalis,379518.028,5389096.067
VA036,69,Orientalis,379522.687,5389094.935
VA037,77,Orientalis,379520.884,5389092.015
VA038,146,Orientalis,379520.667,5389092.174
VA040,90,Orientalis,379516.167,5389067.657
VA041,75,Orientalis,379511.093,5389053.626
VA042,85,Orientalis,379511.188,5389054.115
VA043,81,Orientalis,379508.376,5389047.029
VA044,208,Orientalis,379518.18,5389047.097
VA045,71,Orientalis,379524.576,5389047.712
VA048,70,Orientalis,379533.649,5389061.384
VA049,165,Orientalis,379529.625,5389065.044
VA050,72,Orientalis,379532.573,5389080.064
VA051,72,Orientalis,379532.501,5389073.083
VA052,87,Orientalis,379544.061,5389067.644
VA053,72,Orientalis,379546.192,5389086.266
VA054,60,Orientalis,379526.042,5389090.724
VA055,163,Sylvatica,379527.167,5389094.307
VA056,138,Orientalis,379544.069,5389098.096
VA057,128,Orientalis,379546.489,5389090.737
VA058,198,Orientalis,379545.971,5389089.397
VA059,89,Orientalis,379543.217,5389086.268
VA060,63,Orientalis,379540.02,5389083.41
VA061,110,Orientalis,379544.346,5389082.473
VAE001,222,Sylvatica,379623.822,5389099.023
VAN000,124,Sylvatica,379566.371,5389091.997
VAN002,117,Sylvatica,379562.996,5389106.347
VAN003,135,Sylvatica,379564.132,5389103.067
VAN004,77,Sylvatica,379558.546,5389095.174
VAN007,107,Sylvatica,379542.213,5389097.671
VAN008,188,Sylvatica,379538.521,5389107.275
VAN009,99,Sylvatica,379538.366,5389109.681
VAN010,74,Sylvatica,379543.513,5389109.467
VAN013,152,Sylvatica,379530.097,5389101.843
VAN014,141,Sylvatica,379536.531,5389100.021
VAN015,131,Sylvatica,379535.65,5389114.361
VAN016,73,Sylvatica,379535.192,5389121.126
VAN017,117,Sylvatica,379526.997,5389114.226
VAN018,100,Sylvatica,379509.465,5389115.57
VAN020,90,Sylvatica,379497.149,5389107.421
VAN021,75,Orientalis,379498.774,5389113.162
VAN022,77,Orientalis,379497.193,5389115.578
VAN026,69,Sylvatica,379481.239,5389134.578
VAN027,72,Sylvatica,379481.997,5389142.991
VAN028,78,Sylvatica,379495.684,5389127.868
VAN029,79,Sylvatica,379501.424,5389139.178
VAN031,87,Sylvatica,379504.208,5389133.589
VAN032,142,Sylvatica,379499.717,5389122.694
VAN033,148,Sylvatica,379516.457,5389131.554
VAN034,103,Orientalis,379523.417,5389125.623
VAN037,81,Sylvatica,379541.022,5389134.764
VAN038,75,Sylvatica,379550.744,5389115.405
VAN039,70,Sylvatica,379559.15,5389122.013
VAN042,70,Sylvatica,379585.811,5389139.879
VAN043,89,Sylvatica,379582.639,5389120.67
VAN044,90,Sylvatica,379541.6,5389029.116
VAN045,91,Sylvatica,379583.086,5389119.053
VAN047,83,Sylvatica,379593.044,5389121.428
VAN048,116,Sylvatica,379582.018,5389110.273
VAN049,102,Sylvatica,379605.934,5389130.577
VAN050,108,Sylvatica,379606.049,5389130.268
VAN052,88,Sylvatica,379611.965,5389140.707
VAN055,73,Sylvatica,379586.904,5389146.723
VAN056,83,Sylvatica,379582.122,5389147.332
VAN057,98,Sylvatica,379592.137,5389147.683
VAN059,70,Sylvatica,379578.454,5389140.49
VAN063,70,Sylvatica,379561.277,5389150.594
VAN064,120,Sylvatica,379569.685,5389154.618
VAN065,105,Sylvatica,379561.143,5389155.188
VAN067,137,Orientalis,379544.997,5389143.498
VAN068,86,Sylvatica,379551.036,5389153.412
VAN069,100,Sylvatica,379544.081,5389150.798
VAN072,76,Sylvatica,379528.579,5389139.662
VAN074,71,Sylvatica,379525.914,5389153.221
VAN075,73,Sylvatica,379522.873,5389156.202
VAN077,167,Sylvatica,379523.078,5389161.918
VAN080,85,Sylvatica,379524.074,5389175.353
VAN081,96,Sylvatica,379521.461,5389166.444
VAN082,101,Sylvatica,379508.723,5389150.607
VAN083,71,Sylvatica,379517.524,5389152.124
VAN084,74,Sylvatica,379494.223,5389145.894
VAN085,71,Sylvatica,379492.617,5389154.917
VAN086,82,Sylvatica,379492.064,5389166.279
VAN087,90,Sylvatica,379492.906,5389155.428
VAN090,103,Sylvatica,379479.433,5389173.78
VAN091,79,Sylvatica,379482.613,5389181.438
